,environment_minded,perceive_weather_change,anticipate_negative_consequences,capable_implement,think_measures_effective,social_connectedness,prop_implemented
0,4.0,1.8333333333333333,4.0,2.2,4.0,1.5,0.25
1,3.0,2.6666666666666665,5.0,2.4,3.0,2.0,0.16666666666666666
2,2.3333333333333335,1.8333333333333333,4.0,1.8,2.0,2.0,0.15384615384615385
3,3.6666666666666665,2.0,4.0,3.2,2.9,2.0,0.1
4,3.3333333333333335,2.1666666666666665,4.5,1.8,2.0,1.6666666666666667,0.15384615384615385
5,5.0,1.8333333333333333,4.0,3.0,3.5454545454545454,2.25,0.5454545454545454
6,5.0,1.6666666666666667,4.5,3.0,4.0,1.75,0.3333333333333333
7,4.0,1.8333333333333333,2.0,3.6,3.25,2.5,0.5384615384615384
8,3.3333333333333335,2.1666666666666665,4.5,1.8,2.1538461538461537,2.0,0.15384615384615385
9,4.0,1.0,3.0,1.0,1.8,3.0,0.1
10,3.6666666666666665,1.5,4.0,2.8,3.0,2.0,0.38461538461538464
11,4.0,1.8333333333333333,4.0,4.0,3.4615384615384617,2.0,0.5384615384615384
12,4.0,1.6666666666666667,4.0,4.0,3.3636363636363638,1.3333333333333333,0.36363636363636365
13,3.3333333333333335,1.5,4.0,2.0,2.6153846153846154,3.0,0.3076923076923077
14,4.666666666666667,1.6666666666666667,4.0,2.0,2.6153846153846154,1.9,0.6923076923076923
15,5.0,1.8333333333333333,4.5,4.6,4.230769230769231,1.5,0.46153846153846156
16,3.6666666666666665,1.6666666666666667,4.0,2.6,3.4,2.0,0.5
17,4.0,1.8333333333333333,4.0,1.8,2.3333333333333335,2.0,0.2
18,5.0,1.3333333333333333,2.0,4.2,3.5384615384615383,1.0,0.6153846153846154
19,4.0,1.5,4.0,1.8,2.25,2.0,0.23076923076923078
20,3.6666666666666665,1.5,3.0,3.0,1.5,2.0,0.0
21,3.6666666666666665,1.6666666666666667,4.0,4.4,2.5384615384615383,2.3333333333333335,0.23076923076923078
22,4.333333333333333,2.1666666666666665,4.0,1.8,2.8333333333333335,1.6,0.16666666666666666
23,4.666666666666667,1.8333333333333333,5.0,3.2,2.857142857142857,1.6,0.4444444444444444
24,4.0,1.8333333333333333,4.0,2.6,2.8,2.5,0.42857142857142855
